Attaching to elk_filebeat_1, elk_metricbeat_1, elk_logstash_1, elk_kibana_1, elk_elasticsearch_1
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.458Z	INFO	instance/beat.go:571	Home path: [/usr/share/metricbeat] Config path: [/usr/share/metricbeat] Data path: [/usr/share/metricbeat/data] Logs path: [/usr/share/metricbeat/logs]
[33mmetricbeat_1     |[0m 2019-06-11T06:17:22.521Z	INFO	[monitoring]	log/log.go:144	Non-zero metrics in the last 30s	{"monitoring": {"metrics": {"beat":{"cpu":{"system":{"ticks":150,"time":{"ms":155}},"total":{"ticks":450,"time":{"ms":457},"value":450},"user":{"ticks":300,"time":{"ms":302}}},"handles":{"limit":{"hard":1048576,"soft":1048576},"open":24},"info":{"ephemeral_id":"59828dac-cee6-40f8-b9c3-e531b4357648","uptime":{"ms":30208}},"memstats":{"gc_next":13318816,"memory_alloc":10893184,"memory_total":21987592,"rss":49618944}},"libbeat":{"config":{"module":{"running":0},"reloads":1},"output":{"type":"elasticsearch"},"pipeline":{"clients":7,"events":{"active":111,"published":111,"retry":99,"total":111}}},"metricbeat":{"docker":{"container":{"events":15,"success":15},"cpu":{"events":15,"success":15},"diskio":{"events":10,"success":10},"info":{"events":3,"success":3},"memory":{"events":10,"success":10},"network":{"events":15,"success":15}},"system":{"cpu":{"events":3,"success":3},"filesystem":{"events":17,"success":17},"fsstat":{"events":1,"success":1},"load":{"events":3,"success":3},"memory":{"events":3,"success":3},"network":{"events":6,"success":6},"process":{"events":3,"success":3},"process_summary":{"events":3,"success":3},"socket_summary":{"events":3,"success":3},"uptime":{"events":1,"success":1}}},"system":{"cpu":{"cores":4},"load":{"1":3.44,"15":0.43,"5":0.95,"norm":{"1":0.86,"15":0.1075,"5":0.2375}}}}}}
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.775Z	ERROR	pipeline/output.go:100	Failed to connect to backoff(elasticsearch(http://elasticsearch:9200)): Get http://elasticsearch:9200: dial tcp 172.18.0.2:9200: connect: connection refused
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.775Z	INFO	pipeline/output.go:93	Attempting to reconnect to backoff(elasticsearch(http://elasticsearch:9200)) with 5 reconnect attempt(s)
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.775Z	INFO	[publisher]	pipeline/retry.go:166	retryer: send wait signal to consumer
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.776Z	INFO	[publisher]	pipeline/retry.go:168	  done
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.783Z	INFO	elasticsearch/client.go:734	Attempting to connect to Elasticsearch version 7.1.1
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.856Z	INFO	[index-management]	idxmgmt/std.go:223	Auto ILM enable success.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.915Z	INFO	[index-management]	idxmgmt/std.go:238	ILM policy successfully loaded.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.915Z	INFO	[index-management]	idxmgmt/std.go:361	Set setup.template.name to '{metricbeat-7.1.1 {now/d}-000001}' as ILM is enabled.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.915Z	INFO	[index-management]	idxmgmt/std.go:366	Set setup.template.pattern to 'metricbeat-7.1.1-*' as ILM is enabled.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.915Z	INFO	[index-management]	idxmgmt/std.go:400	Set settings.index.lifecycle.rollover_alias in template to {metricbeat-7.1.1 {now/d}-000001} as ILM is enabled.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.915Z	INFO	[index-management]	idxmgmt/std.go:404	Set settings.index.lifecycle.name in template to {metricbeat-7.1.1 map[policy:{"phases":{"hot":{"actions":{"rollover":{"max_age":"30d","max_size":"50gb"}}}}}]} as ILM is enabled.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.923Z	INFO	template/load.go:82	Loading template for Elasticsearch version: 7.1.1
[33mmetricbeat_1     |[0m 2019-06-11T06:17:35.923Z	INFO	template/load.go:84	Existing template will be overwritten, as overwrite is enabled.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:36.497Z	INFO	template/load.go:145	Elasticsearch template with name 'metricbeat-7.1.1' loaded
[33mmetricbeat_1     |[0m 2019-06-11T06:17:36.497Z	INFO	[index-management]	idxmgmt/std.go:272	Loaded index template.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:36.981Z	INFO	[index-management]	idxmgmt/std.go:283	Write alias successfully generated.
[33mmetricbeat_1     |[0m 2019-06-11T06:17:36.981Z	INFO	pipeline/output.go:105	Connection to backoff(elasticsearch(http://elasticsearch:9200)) established
[33mmetricbeat_1     |[0m 2019-06-11T06:17:36.983Z	INFO	[publisher]	pipeline/retry.go:189	retryer: send unwait-signal to consumer
[33mmetricbeat_1     |[0m 2019-06-11T06:17:36.983Z	INFO	[publisher]	pipeline/retry.go:191	  done
[33mmetricbeat_1     |[0m 2019-06-11T06:17:52.520Z	INFO	[monitoring]	log/log.go:144	Non-zero metrics in the last 30s	{"monitoring": {"metrics": {"beat":{"cpu":{"system":{"ticks":250,"time":{"ms":98}},"total":{"ticks":850,"time":{"ms":400},"value":850},"user":{"ticks":600,"time":{"ms":302}}},"handles":{"limit":{"hard":1048576,"soft":1048576},"open":25},"info":{"ephemeral_id":"59828dac-cee6-40f8-b9c3-e531b4357648","uptime":{"ms":60207}},"memstats":{"gc_next":11638336,"memory_alloc":7315704,"memory_total":68686216,"rss":13660160}},"libbeat":{"config":{"module":{"running":0}},"output":{"events":{"acked":203,"active":10,"batches":11,"total":213},"read":{"bytes":7113},"write":{"bytes":510555}},"pipeline":{"clients":7,"events":{"active":10,"published":102,"retry":56,"total":102},"queue":{"acked":203}}},"metricbeat":{"docker":{"container":{"events":15,"success":15},"cpu":{"events":15,"success":15},"diskio":{"events":15,"success":15},"info":{"events":3,"success":3},"memory":{"events":15,"success":15},"network":{"events":15,"success":15}},"system":{"cpu":{"events":3,"success":3},"load":{"events":3,"success":3},"memory":{"events":3,"success":3},"network":{"events":6,"success":6},"process":{"events":3,"success":3},"process_summary":{"events":3,"success":3},"socket_summary":{"events":3,"success":3}}},"system":{"load":{"1":3.71,"15":0.56,"5":1.28,"norm":{"1":0.9275,"15":0.14,"5":0.32}}}}}}
[33mmetricbeat_1     |[0m 2019-06-11T06:18:22.521Z	INFO	[monitoring]	log/log.go:144	Non-zero metrics in the last 30s	{"monitoring": {"metrics": {"beat":{"cpu":{"system":{"ticks":330,"time":{"ms":82}},"total":{"ticks":990,"time":{"ms":140},"value":990},"user":{"ticks":660,"time":{"ms":58}}},"handles":{"limit":{"hard":1048576,"soft":1048576},"open":25},"info":{"ephemeral_id":"59828dac-cee6-40f8-b9c3-e531b4357648","uptime":{"ms":90209}},"memstats":{"gc_next":12387232,"memory_alloc":9928888,"memory_total":79922536,"rss":528384}},"libbeat":{"config":{"module":{"running":0}},"output":{"events":{"acked":130,"active":-10,"batches":12,"total":120},"read":{"bytes":5280},"write":{"bytes":211189}},"pipeline":{"clients":7,"events":{"active":0,"published":120,"total":120},"queue":{"acked":130}}},"metricbeat":{"docker":{"container":{"events":15,"success":15},"cpu":{"events":15,"success":15},"diskio":{"events":15,"success":15},"info":{"events":3,"success":3},"memory":{"events":15,"success":15},"network":{"events":15,"success":15}},"system":{"cpu":{"events":3,"success":3},"filesystem":{"events":17,"success":17},"fsstat":{"events":1,"success":1},"load":{"events":3,"success":3},"memory":{"events":3,"success":3},"network":{"events":6,"success":6},"process":{"events":3,"success":3},"process_summary":{"events":3,"success":3},"socket_summary":{"events":3,"success":3}}},"system":{"load":{"1":2.43,"15":0.56,"5":1.2,"norm":{"1":0.6075,"15":0.14,"5":0.3}}}}}}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.306Z	INFO	instance/beat.go:571	Home path: [/usr/share/filebeat] Config path: [/usr/share/filebeat] Data path: [/usr/share/filebeat/data] Logs path: [/usr/share/filebeat/logs]
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.311Z	INFO	instance/beat.go:579	Beat ID: c90b6efa-d4fe-47e8-894e-069b06953080
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.312Z	INFO	[index-management.ilm]	ilm/ilm.go:129	Policy name: filebeat-7.1.1
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.313Z	INFO	[seccomp]	seccomp/seccomp.go:116	Syscall filter successfully installed
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.313Z	INFO	[beat]	instance/beat.go:827	Beat info	{"system_info": {"beat": {"path": {"config": "/usr/share/filebeat", "data": "/usr/share/filebeat/data", "home": "/usr/share/filebeat", "logs": "/usr/share/filebeat/logs"}, "type": "filebeat", "uuid": "c90b6efa-d4fe-47e8-894e-069b06953080"}}}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.313Z	INFO	[beat]	instance/beat.go:836	Build info	{"system_info": {"build": {"commit": "3358d9a5a09e3c6709a2d3aaafde628ea34e8419", "libbeat": "7.1.1", "time": "2019-05-23T13:21:33.000Z", "version": "7.1.1"}}}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.313Z	INFO	[beat]	instance/beat.go:839	Go runtime info	{"system_info": {"go": {"os":"linux","arch":"amd64","max_procs":4,"version":"go1.11.5"}}}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.336Z	INFO	[beat]	instance/beat.go:843	Host info	{"system_info": {"host": {"architecture":"x86_64","boot_time":"2019-06-11T05:37:49Z","containerized":true,"name":"ddc55b03f139","ip":["127.0.0.1/8","172.18.0.5/16"],"kernel_version":"5.0.0-13-generic","mac":["02:42:ac:12:00:05"],"os":{"family":"redhat","platform":"centos","name":"CentOS Linux","version":"7 (Core)","major":7,"minor":6,"patch":1810,"codename":"Core"},"timezone":"UTC","timezone_offset_sec":0}}}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.337Z	INFO	[beat]	instance/beat.go:872	Process info	{"system_info": {"process": {"capabilities": {"inheritable":["chown","dac_override","fowner","fsetid","kill","setgid","setuid","setpcap","net_bind_service","net_raw","sys_chroot","mknod","audit_write","setfcap"],"permitted":["chown","dac_override","fowner","fsetid","kill","setgid","setuid","setpcap","net_bind_service","net_raw","sys_chroot","mknod","audit_write","setfcap"],"effective":["chown","dac_override","fowner","fsetid","kill","setgid","setuid","setpcap","net_bind_service","net_raw","sys_chroot","mknod","audit_write","setfcap"],"bounding":["chown","dac_override","fowner","fsetid","kill","setgid","setuid","setpcap","net_bind_service","net_raw","sys_chroot","mknod","audit_write","setfcap"],"ambient":null}, "cwd": "/usr/share/filebeat", "exe": "/usr/share/filebeat/filebeat", "name": "filebeat", "pid": 1, "ppid": 0, "seccomp": {"mode":"filter","no_new_privs":true}, "start_time": "2019-06-11T06:16:50.350Z"}}}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.337Z	INFO	instance/beat.go:280	Setup Beat: filebeat; Version: 7.1.1
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.337Z	INFO	[index-management]	idxmgmt/std.go:165	Set output.elasticsearch.index to 'filebeat-7.1.1' as ILM is enabled.
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.337Z	INFO	elasticsearch/client.go:165	Elasticsearch url: http://elasticsearch:9200
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.337Z	INFO	[publisher]	pipeline/module.go:97	Beat name: ddc55b03f139
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.340Z	INFO	[monitoring]	log/log.go:117	Starting metrics logging every 30s
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.340Z	INFO	instance/beat.go:391	filebeat start running.
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.342Z	INFO	registrar/migrate.go:104	No registry home found. Create: /usr/share/filebeat/data/registry/filebeat
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.343Z	INFO	registrar/migrate.go:112	Initialize registry meta file
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.345Z	INFO	registrar/registrar.go:108	No registry file found under: /usr/share/filebeat/data/registry/filebeat/data.json. Creating a new registry file.
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.359Z	INFO	registrar/registrar.go:145	Loading registrar data from /usr/share/filebeat/data/registry/filebeat/data.json
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.359Z	INFO	registrar/registrar.go:152	States Loaded from registrar: 0
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.359Z	INFO	crawler/crawler.go:72	Loading Inputs: 1
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.359Z	INFO	log/input.go:148	Configured paths: [/var/lib/docker/containers/*/*.log]
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.359Z	INFO	input/input.go:114	Starting input of type: docker; ID: 2482010575008624874 
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.360Z	INFO	log/harvester.go:254	Harvester started for file: /var/lib/docker/containers/6043812ad4e24368551a7858d3285a16052e1693c75af13e0892fa5a8e3c0aa3/6043812ad4e24368551a7858d3285a16052e1693c75af13e0892fa5a8e3c0aa3-json.log
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.360Z	INFO	log/harvester.go:254	Harvester started for file: /var/lib/docker/containers/8adc1edb468ca582f4a39b6237d36f4e63bf0831f7172abf8127873caff89e47/8adc1edb468ca582f4a39b6237d36f4e63bf0831f7172abf8127873caff89e47-json.log
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.361Z	INFO	log/harvester.go:254	Harvester started for file: /var/lib/docker/containers/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a-json.log
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.361Z	INFO	log/harvester.go:254	Harvester started for file: /var/lib/docker/containers/1d1055e3a008d56587d857f9b4d6ebdb5d29c40aef5fbb750f9b0275d4aa310e/1d1055e3a008d56587d857f9b4d6ebdb5d29c40aef5fbb750f9b0275d4aa310e-json.log
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.361Z	INFO	crawler/crawler.go:106	Loading and starting Inputs completed. Enabled inputs: 1
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.362Z	WARN	[cfgwarn]	docker/docker.go:57	BETA: The docker autodiscover is beta
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.362Z	INFO	cfgfile/reload.go:150	Config reloader started
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.362Z	WARN	[cfgwarn]	hints/logs.go:56	BETA: The hints builder is beta
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.366Z	INFO	autodiscover/autodiscover.go:104	Starting autodiscover manager
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.368Z	INFO	cfgfile/reload.go:205	Loading of config files completed.
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.369Z	INFO	log/harvester.go:254	Harvester started for file: /var/lib/docker/containers/5622c4225c4ce4f8452afffcfb353ce685de7ee0005592575032b291321723af/5622c4225c4ce4f8452afffcfb353ce685de7ee0005592575032b291321723af-json.log
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.372Z	ERROR	[autodiscover]	cfgfile/list.go:96	Error creating runner from config: Can only start an input when all related states are finished: {Id:1595875-2049 Finished:false Fileinfo:0xc000296b60 Source:/var/lib/docker/containers/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a-json.log Offset:0 Timestamp:2019-06-11 06:16:52.371450011 +0000 UTC m=+0.120784492 TTL:-1ns Type:docker Meta:map[] FileStateOS:1595875-2049}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.392Z	ERROR	[autodiscover]	cfgfile/list.go:96	Error creating runner from config: Can only start an input when all related states are finished: {Id:1595875-2049 Finished:false Fileinfo:0xc000296b60 Source:/var/lib/docker/containers/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a-json.log Offset:0 Timestamp:2019-06-11 06:16:52.371450011 +0000 UTC m=+0.120784492 TTL:-1ns Type:docker Meta:map[] FileStateOS:1595875-2049}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.393Z	INFO	log/input.go:148	Configured paths: [/var/lib/docker/containers/1d1055e3a008d56587d857f9b4d6ebdb5d29c40aef5fbb750f9b0275d4aa310e/*.log]
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.393Z	INFO	input/input.go:114	Starting input of type: docker; ID: 1802433135962638430 
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.393Z	ERROR	[autodiscover]	cfgfile/list.go:96	Error creating runner from config: Can only start an input when all related states are finished: {Id:1595875-2049 Finished:false Fileinfo:0xc000296b60 Source:/var/lib/docker/containers/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a-json.log Offset:0 Timestamp:2019-06-11 06:16:52.371450011 +0000 UTC m=+0.120784492 TTL:-1ns Type:docker Meta:map[] FileStateOS:1595875-2049}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.394Z	ERROR	[autodiscover]	cfgfile/list.go:96	Error creating runner from config: Can only start an input when all related states are finished: {Id:1595845-2049 Finished:false Fileinfo:0xc0002969c0 Source:/var/lib/docker/containers/8adc1edb468ca582f4a39b6237d36f4e63bf0831f7172abf8127873caff89e47/8adc1edb468ca582f4a39b6237d36f4e63bf0831f7172abf8127873caff89e47-json.log Offset:0 Timestamp:2019-06-11 06:16:52.368460548 +0000 UTC m=+0.117795027 TTL:-1ns Type:docker Meta:map[] FileStateOS:1595845-2049}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.394Z	ERROR	[autodiscover]	cfgfile/list.go:96	Error creating runner from config: Can only start an input when all related states are finished: {Id:1595875-2049 Finished:false Fileinfo:0xc000296b60 Source:/var/lib/docker/containers/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a/ddc55b03f13929f5a69486095710d34e2f17fb0b78f5a512b3a7c31c912a472a-json.log Offset:0 Timestamp:2019-06-11 06:16:52.371450011 +0000 UTC m=+0.120784492 TTL:-1ns Type:docker Meta:map[] FileStateOS:1595875-2049}
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.400Z	INFO	log/harvester.go:254	Harvester started for file: /var/lib/docker/containers/1d1055e3a008d56587d857f9b4d6ebdb5d29c40aef5fbb750f9b0275d4aa310e/1d1055e3a008d56587d857f9b4d6ebdb5d29c40aef5fbb750f9b0275d4aa310e-json.log
[36mfilebeat_1       |[0m 2019-06-11T06:16:52.401Z	ERROR	[autodiscover]	cfgfile/list.go:96	Error creating runner from config: Can only start an input when all related states are finished: {Id:1595845-2049 Finished:false Fileinfo:0xc0002969c0 Source:/var/lib/docker/containers/8adc1edb468ca582f4a39b6237d36f4e63bf0831f7172abf8127873caff89e47/8adc1edb468ca582f4a39b6237d36f4e63bf0831f7172abf8127873caff89e47-json.log Offset:0 Timestamp:2019-06-11 06:16:52.368460548 +0000 UTC m=+0.117795027 TTL:-1ns Type:docker Meta:map[] FileStateOS:1595845-2049}
